# Document parsed from: Master_List_for_Atlas_Copco-2.xlsx

## Page 1

|Basic Material|Changed By|Business Partner|Organizational Unit|Changed on|Company Created|Created by|Created on|Desc. in English (as of 11.2025)|Old description|Ext. Matl Group|Material group|Material type||Purchasing document|Purchase doc Item|Purchasing org.||Size/Dimension|Vendor||Material|Counter of PO|Counter of Material|PO Value|PO Quantity|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/29/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|30|US02|Comptec|21.75" DVE4L2175-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215285|1|1|$ 578.86|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/29/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|80|US02|Comptec|26.50" DVE4L2650-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215284|1|1|$ 905.98|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/29/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|90|US02|Comptec|21.75" DVE4L2175-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215285|1|1|$ 578.86|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/29/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|190|US02|Comptec|26.50" DVE4L2650-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215284|1|1|$ 452.99|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/29/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|200|US02|Comptec|26.50" DVE4L2650-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215284|1|1|$ 452.99|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/29/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|210|US02|Comptec|21.75" DVE4L2175-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215285|1|1|$ 289.43|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/29/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|220|US02|Comptec|21.75" DVE4L2175-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215285|1|1|$ 289.43|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/29/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|310|US02|Comptec|26.50" DVE4L2650-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215284|1|1|$ 452.99|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/29/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|320|US02|Comptec|21.75" DVE4L2175-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215285|1|1|$ 289.43|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/30/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|40|US02|Comptec|17.75" DVE4L1775-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215312|1|1|$ 541.58|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/30/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|100|US02|Comptec|17.75" DVE4L1775-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215312|1|1|$ 541.58|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/30/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|230|US02|Comptec|17.75" DVE4L1775-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215312|1|1|$ 270.79|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/30/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|240|US02|Comptec|17.75" DVE4L1775-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215312|1|1|$ 270.79|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|06/30/2025|SPRING ENERGIZED STATIC SEAL|ROTARY SHAFT LIP TYPE SEAL|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|330|US02|Comptec|17.75" DVE4L1775-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215312|1|1|$ 270.79|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/11/2025|SPRING ENERGIZED STATIC SEAL|#|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|50|US02|Comptec|17.25" DVE4L1725-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215608|1|1|$ 537.46|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/11/2025|SPRING ENERGIZED STATIC SEAL|#|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|60|US02|Comptec|14.50" DVE4L1450-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215609|1|1|$ 3,199.44|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/11/2025|SPRING ENERGIZED STATIC SEAL|#|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|110|US02|Comptec|17.25" DVE4L1725-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215608|1|1|$ 537.46|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/11/2025|SPRING ENERGIZED STATIC SEAL|#|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|120|US02|Comptec|14.50" DVE4L1450-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215609|1|1|$ 3,199.44|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/11/2025|SPRING ENERGIZED STATIC SEAL|#|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|250|US02|Comptec|17.25" DVE4L1725-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215608|1|1|$ 268.73|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/11/2025|SPRING ENERGIZED STATIC SEAL|#|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|260|US02|Comptec|17.25" DVE4L1725-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215608|1|1|$ 268.73|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/11/2025|SPRING ENERGIZED STATIC SEAL|#|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|270|US02|Comptec|14.50" DVE4L1450-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215609|1|1|$ 1,599.72|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/11/2025|SPRING ENERGIZED STATIC SEAL|#|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|280|US02|Comptec|14.50" DVE4L1450-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215609|1|1|$ 1,599.72|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/11/2025|SPRING ENERGIZED STATIC SEAL|#|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|340|US02|Comptec|17.25" DVE4L1725-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215608|1|1|$ 268.73|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/11/2025|SPRING ENERGIZED STATIC SEAL|#|#|SPRING ENERGIZED STATIC SEAL|ZRH8|Purchased finished|45830270|350|US02|Comptec|14.50" DVE4L1450-T05SH FACE SEAL|1100006575|Trelleborg Sealing Solutions Us, In|1314215609|1|1|$ 1,599.72|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/14/2025|PLAIN BEARING|ASSEMBLY BUSHING|#|PLAIN BEARING|ZRH8|Purchased finished|45828153|10|US02|Comptec|32ID X 42OD X 33|1100002159|APPLIED INDUSTRIAL TECHNOLGIES|1314215645|1|1|$ 110.91|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/15/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|07/14/2025|PLAIN BEARING|ASSEMBLY BUSHING|#|PLAIN BEARING|ZRH8|Purchased finished|45828153|20|US02|Comptec|32ID X 42OD X 33|1100002159|APPLIED INDUSTRIAL TECHNOLGIES|1314215645|1|1|$ 110.91|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/21/2025|Atlas Copco Comptec LLC|TBI-HARCARS|08/15/2025|DIFFERENTIAL PRESSURE TRANSMITTER|#|#|DIFFERENTIAL PRESSURE TRANSMITTER|ZRH8|Purchased finished|45828438|20|US02|Comptec|AT11-151211NNN-S3N|1100006182|Miller Energy|1314216854|1|1|$ 0.00|0 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/21/2025|Atlas Copco Comptec LLC|TBI-HARCARS|08/15/2025|DIFFERENTIAL PRESSURE TRANSMITTER|#|#|DIFFERENTIAL PRESSURE TRANSMITTER|ZRH8|Purchased finished|45830816|10|US02|Comptec|AT11-151211NNN-S3N|1100002742|YOKOGAWA CORPORATION OF AMERICA|1314216854|1|1|$ 1,355.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/21/2025|Atlas Copco Comptec LLC|TBI-HARCARS|08/15/2025|FLOW MEASUREMENT|#|#|FLOW MEASUREMENT|ZRH8|Purchased finished|45828438|10|US02|Comptec|16", 1/2NPT, 3/4NPT|1100006182|Miller Energy|1314216851|1|1|$ 13,364.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/21/2025|Atlas Copco Comptec LLC|TBI-HARCARS|08/15/2025|FLOW TRANSMITTER|#|#|FLOW TRANSMITTER|ZRH8|Purchased finished|45828438|40|US02|Comptec|4-20MADC|1100006182|Miller Energy|1314216856|1|1|$ 0.00|0 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/21/2025|Atlas Copco Comptec LLC|TBI-HARCARS|08/15/2025|FLOW TRANSMITTER|#|#|FLOW TRANSMITTER|ZRH8|Purchased finished|45830816|30|US02|Comptec|4-20MADC|1100002742|YOKOGAWA CORPORATION OF AMERICA|1314216856|1|1|$ 5,960.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/21/2025|Atlas Copco Comptec LLC|TBI-HARCARS|08/15/2025|MANIFOLD|#|#|MANIFOLD|ZRH8|Purchased finished|45828438|30|US02|Comptec|C13ST-3TSA0-S4-NNNNN-NNNN/HTAS|1100006182|Miller Energy|1314216855|1|1|$ 0.00|0 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|08/21/2025|Atlas Copco Comptec LLC|TBI-HARCARS|08/15/2025|MANIFOLD|#|#|MANIFOLD|ZRH8|Purchased finished|45830816|20|US02|Comptec|C13ST-3TSA0-S4-NNNNN-NNNN/HTAS|1100002742|YOKOGAWA CORPORATION OF AMERICA|1314216855|1|1|$ 416.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/02/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|04/07/2025|JUNCTION BOX|ELECTRICAL ENCL HAZ ASSY, TERMINAL|#|JUNCTION BOX|ZRH8|Purchased finished|45832660|10|US02|Comptec|360 X 360 X 91 UL/CSA HINGED|1100002096|R. STAHL, INCORPORATED|1314212844|1|1|$ 1,129.44|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/02/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|04/07/2025|JUNCTION BOX|ELECTRICAL ENCL HAZ ASSY, TERMINAL|#|JUNCTION BOX|ZRH8|Purchased finished|45832660|20|US02|Comptec|360 X 360 X 91 UL/CSA HINGED|1100002096|R. STAHL, INCORPORATED|1314212844|1|1|$ 1,129.44|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/02/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|04/07/2025|JUNCTION BOX|ELECTRICAL ENCL HAZ ASSY, TERMINAL|#|JUNCTION BOX|ZRH8|Purchased finished|45832660|30|US02|Comptec|236 X 176 X 091 UL/CSA HINGED|1100002096|R. STAHL, INCORPORATED|1314212845|1|1|$ 1,722.02|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/02/2025|Atlas Copco Comptec LLC|TBI-NAEIDRI|04/07/2025|JUNCTION BOX|ELECTRICAL ENCL HAZ ASSY, TERMINAL|#|JUNCTION BOX|ZRH8|Purchased finished|45832660|40|US02|Comptec|236 X 176 X 091 UL/CSA HINGED|1100002096|R. STAHL, INCORPORATED|1314212845|1|1|$ 1,722.02|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/23/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/19/2025|PARTS KIT|#|#|PARTS KIT|ZRH8|Purchased finished|45831720|10|US02|Comptec|1420154153 REPAIR KIT|1100001996|NOONEY CONTROLS CORPORATION|1314217462|1|1|$ 455.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/25/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/23/2025|MANIFOLD|#|#|MANIFOLD|ZRH8|Purchased finished|45831877|40|US02|Comptec|0305RC62B11BEL4TI|1100006533|EMERSON LLLP|1314217485|1|1|$ 15,772.12|14 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/25/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/23/2025|MANIFOLD|#|#|MANIFOLD|ZRH8|Purchased finished|45831877|50|US02|Comptec|0306RT22BA11TI|1100006533|EMERSON LLLP|1314217486|1|1|$ 6,482.72|16 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/25/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/23/2025|PARTS KIT|#|#|PARTS KIT|ZRH8|Purchased finished|45831877|20|US02|Comptec|03031-0879-0003|1100006533|EMERSON LLLP|1314217484|1|1|$ 1,460.88|12 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/25/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/23/2025|SPECIAL MEASURING EQUIPMENT|#|#|SPECIAL MEASURING EQUIPMENT|ZRH8|Purchased finished|45832330|10|US02|Comptec|O2 SENSOR 0-25%|1100006282|Fluid-Aire Dynamics|1314217494|1|1|$ 864.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/25/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/23/2025|SUPPORT BRACKET|#|#|SUPPORT BRACKET|ZRH8|Purchased finished|45831877|10|US02|Comptec|03144-1081-1001|1100006533|EMERSON LLLP|1314217483|1|1|$ 1,172.24|8 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/29/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/25/2025|PARTS KIT|#|#|PARTS KIT|ZRH8|Purchased finished|45832226|10|US02|Comptec|4BOKIT-11001B|1101010323|THERMAL PRODUCTS, INCORPORATED|1314217531|1|1|$ 0.00|0 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|09/29/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/25/2025|PARTS KIT|#|#|PARTS KIT|ZRH8|Purchased finished|45832256|10|US02|Comptec|4BOKIT-11001B|1101010284|AMOT CONTROLS CORPORATION|1314217531|1|1|$ 2,667.39|3 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/01/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/29/2025|N2 STORAGE CONTAINER|#|#|N2 STORAGE CONTAINER|ZRH8|Purchased finished|45832844|10|US02|Comptec|PURGE CONTAINER T.844/T.1709|1100002522|EASTERN ALLOY, INC.|1314217578|1|1|$ 51,670.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/01/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/29/2025|N2 STORAGE CONTAINER|#|#|N2 STORAGE CONTAINER|ZRH8|Purchased finished|45832844|20|US02|Comptec|PURGE CONTAINER T.844/T.1709|1100002522|EASTERN ALLOY, INC.|1314217578|1|1|$ 51,670.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/06/2025|Atlas Copco Comptec LLC|TBI-HARCARS|04/24/2025|HEAT EXCHANGER BUNDLE|#|#|HEAT EXCHANGER|ZRH8|Purchased finished|45817348|20|US02|Comptec|120TUBES-ADMIR 2P 2STG PHENOLIC|1100002020|ASCENSION SHEET & METAL FAB|1314213598|1|1|$ 74,101.50|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/06/2025|Atlas Copco Comptec LLC|TBI-HARCARS|04/24/2025|HEAT EXCHANGER BUNDLE|#|#|HEAT EXCHANGER|ZRH8|Purchased finished|45817348|30|US02|Comptec|126TUBES-ADMIR 2P 3STG PHENOLIC|1100002020|ASCENSION SHEET & METAL FAB|1314213599|1|1|$ 76,631.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/06/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/12/2025|NOISE ENCLOSURE|#|#|NOISE ENCLOSURE|ZRH8|Purchased finished|45832743|10|US02|Comptec|S-3 ENCLOSURE PANEL|1101010323|THERMAL PRODUCTS, INCORPORATED|1314217383|1|1|$ 1,220.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/06/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/12/2025|NOISE ENCLOSURE|#|#|NOISE ENCLOSURE|ZRH8|Purchased finished|45832743|20|US02|Comptec|S-4 ENCLOSURE PANEL|1101010323|THERMAL PRODUCTS, INCORPORATED|1314217384|1|1|$ 2,440.00|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/06/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/12/2025|NOISE ENCLOSURE|#|#|NOISE ENCLOSURE|ZRH8|Purchased finished|45832743|30|US02|Comptec|S-16 ENCLOSURE PANEL|1101010323|THERMAL PRODUCTS, INCORPORATED|1314217385|1|1|$ 3,660.00|3 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/06/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/12/2025|NOISE ENCLOSURE|#|#|NOISE ENCLOSURE|ZRH8|Purchased finished|45832743|40|US02|Comptec|S-5 ENCLOSURE PANEL|1101010323|THERMAL PRODUCTS, INCORPORATED|1314217386|1|1|$ 2,440.00|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/06/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/12/2025|NOISE ENCLOSURE|#|#|NOISE ENCLOSURE|ZRH8|Purchased finished|45832743|50|US02|Comptec|S-21 ENCLOSURE PANEL|1101010323|THERMAL PRODUCTS, INCORPORATED|1314217387|1|1|$ 2,440.00|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/10/2025|Atlas Copco Comptec LLC|TBI-HARCARS|10/07/2025|PIPE ELBOW|#|#|PIPE ELBOW|ZRH8|Purchased finished|45834614|10|US02|Comptec|24"-300# RF & 24" SR ELBOW WELD|1100002020|ASCENSION SHEET & METAL FAB|1314217680|1|1|$ 27,679.00|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/15/2025|Atlas Copco Comptec LLC|TBI-BACCHRI|09/29/2025|JUNCTION BOX ACCESSORY|#|#|JUNCTION BOX ACCESSORY|ZRH8|Purchased finished|45832469|10|US02|Comptec|TERM BLOCK KIT FOR 1314209753|1100002096|R. STAHL, INCORPORATED|1314217579|1|1|$ 0.00|0 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/15/2025|Atlas Copco Comptec LLC|TBI-BACCHRI|09/29/2025|JUNCTION BOX ACCESSORY|#|#|JUNCTION BOX ACCESSORY|ZRH8|Purchased finished|45833786|10|US02|Comptec|TERM BLOCK KIT FOR 1314209753|1100002538|REXEL USA, INC DBA Gexpro|1314217579|1|1|$ 765.82|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/24/2025|Atlas Copco Comptec LLC|TBI-HARCARS|01/28/2025|COOLER-ASSY|#|#|COOLER-ASSY|ZRH8|Purchased finished|45807455|10|US02|Comptec|#|1100002020|ASCENSION SHEET & METAL FAB|1314209512|1|1|$ 95,543.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/24/2025|Atlas Copco Comptec LLC|TBI-HARCARS|01/28/2025|COOLER-ASSY|#|#|COOLER-ASSY|ZRH8|Purchased finished|45807455|20|US02|Comptec|#|1100002020|ASCENSION SHEET & METAL FAB|1314209515|1|1|$ 90,681.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|10/24/2025|Atlas Copco Comptec LLC|TBI-HARCARS|01/28/2025|COOLER-ASSY|#|#|COOLER-ASSY|ZRH8|Purchased finished|45807455|30|US02|Comptec|#|1100002020|ASCENSION SHEET & METAL FAB|1314209516|1|1|$ 79,653.00|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|11/04/2025|Atlas Copco Comptec LLC|TBI-HARCARS|03/28/2025|TOOL, ROTOR|#|#|TOOL,|ZRH8|Purchased finished|45836547|10|US02|Comptec|IMPELLER LIFTING DEVICE|1100005256|Hanes Supply Company|1314212677|1|1|$ 17,481.25|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|11/04/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/30/2025|PARTS KIT|#|#|PARTS KIT|ZRH8|Purchased finished|45831695|50|US02|Comptec|E00050902|1100002273|BURGMANN SEALS AMERICA|1314217599|1|1|$ 3,688.00|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|11/04/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/30/2025|PARTS KIT|#|#|PARTS KIT|ZRH8|Purchased finished|45831695|60|US02|Comptec|E00021067|1100002273|BURGMANN SEALS AMERICA|1314217598|1|1|$ 7,578.10|2 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|11/04/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/30/2025|PARTS KIT|#|#|PARTS KIT|ZRH8|Purchased finished|45831695|70|US02|Comptec|E00022699|1100002273|BURGMANN SEALS AMERICA|1314217600|1|1|$ 1,834.80|1 PC|
|SEE PO TEXT|GAP-ENOVIA|Not assigned|Not assigned|11/04/2025|Atlas Copco Comptec LLC|TBI-HARCARS|09/30/2025|PARTS KIT|#|#|PARTS KIT|ZRH8|Purchased finished|45831695|80|US02|Comptec|E00022701|1100002273|BURGMANN SEALS AMERICA|1314217601|1|1|$ 6,774.24|1 PC|
|SEE PO TEXT|TBI-HARCARS|Not assigned|Not assigned|03/31/2025|Atlas Copco Comptec LLC|TBI-HARCARS|03/26/2025|SENSOR, PROBE|#|#|SENSOR,|ZRH8|Purchased finished|45808975|20|US02|Comptec|M10 X 1, 70MM|1100001863|BENTLY NEVADA, LLC|1314212661|1|1|$ 4,419.74|13 PC|
|SEE PO TEXT (T|COF-ZHACHEN|Not assigned|Not assigned|09/26/2025|Atlas Copco Comptec LLC|TBI-SCHETHA|09/18/2025|IMPELLER FORGING|#|#|IMPELLER FORGING|ZRH4|Purchased raw material|45834198|10|US02|Comptec|10.00" DIAMETER|1100004797|TITANIUM ENGINEERS, INC.|1314217454|1|1|$ 2,430.00|4.00 "|
